thema;indicator;doel_tekst;richting_auto;doel_auto;doeljaar_auto;richting_handmatig;doel_handmatig;doeljaar_handmatig;opmerking;te_doen;doel_alt;doel_alt_label
Overheidsfinanciën & Openbaar bestuur;EMU-saldo (€ mld);;;;;hoger;;;Zelfde logica als EMU-saldo (% BBP): minder tekort is beter;geen streefwaarde bekend;;
Overheidsfinanciën & Openbaar bestuur;EMU-saldo (% BBP);niet lager dan -3%;hoger;-3,0;;;;;;;;
Overheidsfinanciën & Openbaar bestuur;EMU-schuld (% BBP);max. 60%;lager;60,0;;;;;;;;
Overheidsfinanciën & Openbaar bestuur;"""Rule of Law""-index (rang)";een lagere rang (getal) is beter;lager;;;;;;;streefwaarde ontbreekt;;
Overheidsfinanciën & Openbaar bestuur;"""Rule of Law""-index (score)";een hogere score is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Overheidsfinanciën & Openbaar bestuur;Totale overheidsuitgaven als % BBP;;;;;;;;Bewust leeg: of hogere of lagere overheidsuitgaven beter zijn is een politieke keuze, geen norm;bewust leeg;;
Overheidsfinanciën & Openbaar bestuur;Vertrouwen in Tweede Kamer (% met (tamelijk) veel vertrouwen);een hoger % is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Economie & Arbeidsmarkt;BBP reële groei;;;;;hoger;;;"Groei; coalitiekolom noemt sturen op 1,5% structurele groei";geen streefwaarde bekend;;
Economie & Arbeidsmarkt;R en D uitgaven (% BBP);0.03;;0,03;;hoger;3;;Bron noteert 0,03 (fractie) - EU-doelstelling 3% van bbp (Lissabon, zie legitimatie);;2,5;Nederlands doel (2,5% sinds 2011, EZLI)
Economie & Arbeidsmarkt;"Concurrentiekracht (World Competitiveness Ranking); rang NL binnen Europa";Hogere rang is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Economie & Arbeidsmarkt;"Arbeidsproductiviteit (toegevoegde waarde per gewerkt uur; index, 2021 = 100)";een hogere indexscore is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Economie & Arbeidsmarkt;Netto arbeidsparticipatie (% 15-75-jarigen met betaald werk);een hoger % is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Economie & Arbeidsmarkt;Werkloosheid (% werkzoekenden 15-75 jaar die direct beschikbaar zijn als percentage van beroepsbevolking);een lager % is beter;lager;;;;;;;streefwaarde ontbreekt;;
Kennis & Vaardigheden;PISA-scores lezen;een hogere score is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Kennis & Vaardigheden;PISA-scores wiskunde;een hogere score is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Kennis & Vaardigheden;PISA-scores science;een hogere score is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Kennis & Vaardigheden;PIAAC-scores taalvaardigheid;een hogere score is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Kennis & Vaardigheden;PIAAC-scores rekenvaardigheid;een hogere score is beter;hoger;;;;;;;streefwaarde ontbreekt;;
Kennis & Vaardigheden;PIAAC-scores probleemoplossend vermogen;een hogere score is beter;hoger;;;;;;;streefwaarde ontbreekt;;
