jaar;waarde;eenheid;bron;indicator
1995;73,20;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
1996;71,40;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
1997;65,80;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
1998;62,80;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
1999;58,70;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2000;52,20;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2001;49,50;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2002;48,80;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2003;49,90;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2004;50,20;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2005;49,60;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2006;45,00;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2007;42,80;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2008;54,30;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2009;56,30;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2010;58,90;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2011;61,20;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2012;65,70;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2013;67,20;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2014;67,20;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2015;63,80;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2016;60,90;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2017;56,00;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2018;51,60;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2019;47,70;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2020;53,40;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2021;50,50;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2022;48,40;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2023;45,90;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2024;44,00;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
2025;44,70;% bbp;CBS StatLine 84118NED;EMU-schuld (% BBP)
1995;-8,70;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
1996;-1,90;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
1997;-1,60;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
1998;-1,30;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
1999;0,30;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2000;1,10;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2001;-0,50;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2002;-2,20;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2003;-3,20;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2004;-1,80;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2005;-0,50;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2006;0,00;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2007;-0,20;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2008;-0,10;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2009;-5,10;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2010;-5,30;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2011;-4,40;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2012;-3,80;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2013;-2,90;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2014;-2,20;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2015;-1,80;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2016;0,20;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2017;1,40;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2018;1,50;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2019;1,90;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2020;-3,70;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2021;-2,30;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2022;0,00;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2023;-0,30;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2024;-0,70;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2025;-1,60;% bbp;CBS StatLine 84118NED;EMU-saldo (% BBP)
2013;2,14;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2014;2,15;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2015;2,12;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2016;2,12;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2017;2,14;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2018;2,10;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2019;2,14;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2020;2,27;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2021;2,22;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2022;2,18;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2023;2,30;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
2024;2,36;% bbp;CBS StatLine 84644NED;R en D uitgaven (% BBP)
