indicator;jaar;thema;eenheid;bron;doel_tekst;legitimatie;coalitiedoel;coalitiebedoeling;doel;doeljaar;doel_meerdere;richting;doelsoort;heeft_coalitiedoel;doel_alt;doel_alt_label;waarde_rk;waarde;herkomst
% personen onder NL-armoedegrens (nieuwe CBS–SCP–Nibud-methode);2020;Bestaanszekerheid;NA;CBS/SCP/Nibud;Niet hoger dan 2024: 3,1%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;Daarom zetten we ambitieus in om zoveel mogelijk mensen uit de armoede te halen (of te voorkomen dat ze erin komen);3,1;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;5,10000000000000;5,10000000000000;Rekenkamer
% personen onder NL-armoedegrens (nieuwe CBS–SCP–Nibud-methode);2021;Bestaanszekerheid;NA;CBS/SCP/Nibud;Niet hoger dan 2024: 3,1%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;Daarom zetten we ambitieus in om zoveel mogelijk mensen uit de armoede te halen (of te voorkomen dat ze erin komen);3,1;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;4,90000000000000;4,90000000000000;Rekenkamer
% personen onder NL-armoedegrens (nieuwe CBS–SCP–Nibud-methode);2022;Bestaanszekerheid;NA;CBS/SCP/Nibud;Niet hoger dan 2024: 3,1%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;Daarom zetten we ambitieus in om zoveel mogelijk mensen uit de armoede te halen (of te voorkomen dat ze erin komen);3,1;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;3,40000000000000;3,40000000000000;Rekenkamer
% personen onder NL-armoedegrens (nieuwe CBS–SCP–Nibud-methode);2023;Bestaanszekerheid;NA;CBS/SCP/Nibud;Niet hoger dan 2024: 3,1%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;Daarom zetten we ambitieus in om zoveel mogelijk mensen uit de armoede te halen (of te voorkomen dat ze erin komen);3,1;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;2,70000000000000;2,70000000000000;Rekenkamer
% personen onder NL-armoedegrens (nieuwe CBS–SCP–Nibud-methode);2024;Bestaanszekerheid;NA;CBS/SCP/Nibud;Niet hoger dan 2024: 3,1%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;Daarom zetten we ambitieus in om zoveel mogelijk mensen uit de armoede te halen (of te voorkomen dat ze erin komen);3,1;2024;NA;lager;Wet of verdrag;FALSE;NA;NA;3,10000000000000;3,10000000000000;Rekenkamer
Armoede intensiteit (% inkomenstekort ten opzichte van de armoedegrens bij de mediaan binnen de groep in armoede);2020;Bestaanszekerheid;NA;CBS/SCP/Nibud;Lager is beter;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;We zien dat de intensiteit van de resterende armoede toeneemt. Daarom nemen we gerichte maatregelen om die kwetsbare groep, die voor een groot deel bestaat uit werkende armen, te helpen;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;11,00000000000000;11,00000000000000;Rekenkamer
Armoede intensiteit (% inkomenstekort ten opzichte van de armoedegrens bij de mediaan binnen de groep in armoede);2021;Bestaanszekerheid;NA;CBS/SCP/Nibud;Lager is beter;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;We zien dat de intensiteit van de resterende armoede toeneemt. Daarom nemen we gerichte maatregelen om die kwetsbare groep, die voor een groot deel bestaat uit werkende armen, te helpen;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;10,00000000000000;10,00000000000000;Rekenkamer
Armoede intensiteit (% inkomenstekort ten opzichte van de armoedegrens bij de mediaan binnen de groep in armoede);2022;Bestaanszekerheid;NA;CBS/SCP/Nibud;Lager is beter;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;We zien dat de intensiteit van de resterende armoede toeneemt. Daarom nemen we gerichte maatregelen om die kwetsbare groep, die voor een groot deel bestaat uit werkende armen, te helpen;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;13,00000000000000;13,00000000000000;Rekenkamer
Armoede intensiteit (% inkomenstekort ten opzichte van de armoedegrens bij de mediaan binnen de groep in armoede);2023;Bestaanszekerheid;NA;CBS/SCP/Nibud;Lager is beter;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;We zien dat de intensiteit van de resterende armoede toeneemt. Daarom nemen we gerichte maatregelen om die kwetsbare groep, die voor een groot deel bestaat uit werkende armen, te helpen;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;19,00000000000000;19,00000000000000;Rekenkamer
Armoede intensiteit (% inkomenstekort ten opzichte van de armoedegrens bij de mediaan binnen de groep in armoede);2024;Bestaanszekerheid;NA;CBS/SCP/Nibud;Lager is beter;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;We zien dat de intensiteit van de resterende armoede toeneemt. Daarom nemen we gerichte maatregelen om die kwetsbare groep, die voor een groot deel bestaat uit werkende armen, te helpen;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;19,00000000000000;19,00000000000000;Rekenkamer
