thema;indicator;eenheid;bron;doel_tekst;legitimatie;coalitiedoel;coalitiebedoeling;doel;doeljaar;doel_meerdere;richting;doelsoort;heeft_coalitiedoel;doel_alt;doel_alt_label
Overheidsfinanciën & Openbaar bestuur;EMU-saldo (€ mld);€ mld;CBS;NA;"Verdrag van Maastricht; Wet HOF; SGP";NA;NA;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Overheidsfinanciën & Openbaar bestuur;EMU-saldo (% BBP);% BBP;CBS;niet lager dan -3%;"Verdrag van Maastricht; Wet HOF; SGP";niet lager dan -3%;NA;-3,0;NA;NA;hoger;Wet of verdrag;TRUE;NA;NA
Overheidsfinanciën & Openbaar bestuur;EMU-schuld (% BBP);% BBP;CBS;max. 60%;"Verdrag van Maastricht; Wet HOF; SGP";NA;NA;60,0;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Overheidsfinanciën & Openbaar bestuur;"""Rule of Law""-index (rang)";rang;World Justice Project;een lagere rang (getal) is beter;Breed gehanteerde indicator, score gebaseerd op data 8 thema's zoals corruptie, mensenrechten en strafrecht;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA
Overheidsfinanciën & Openbaar bestuur;"""Rule of Law""-index (score)";score;World Justice Project;een hogere score is beter;Breed gehanteerde indicator, score gebaseerd op data 8 thema's zoals corruptie, mensenrechten en strafrecht;NA;NA;NA;NA;NA;hoger;Overig;FALSE;NA;NA
Overheidsfinanciën & Openbaar bestuur;Totale overheidsuitgaven als % BBP;NA;CBS;NA;Europese Stabiliteits- en Groeipact;NA;NA;NA;NA;NA;NA;Internationale afspraak;FALSE;NA;NA
Overheidsfinanciën & Openbaar bestuur;Vertrouwen in Tweede Kamer (% met (tamelijk) veel vertrouwen);NA;CBS;een hoger % is beter;Legitimiteit parlementaire democratie, Vertrouwensregel;NA;NA;NA;NA;NA;hoger;Overig;FALSE;NA;NA
Economie & Arbeidsmarkt;BBP reële groei;NA;CBS;NA;Europese Stabiliteits- en Groeipact;Actief sturen op 1,5% structurele economische groei;NA;NA;NA;NA;hoger;Internationale afspraak;TRUE;NA;NA
Economie & Arbeidsmarkt;R en D uitgaven (% BBP);% BBP;CBS;0.03;EU Lissabondoelstelling, vastgelegd in Europe 2020 strategy;Bewegen richting Lissabon-doelstelling van 3%;NA;3,0;NA;NA;hoger;Internationale afspraak;TRUE;2,5;Nederlands doel (2,5% sinds 2011, EZLI)
Economie & Arbeidsmarkt;"Concurrentiekracht (World Competitiveness Ranking); rang NL binnen Europa";NA;IMD;Hogere rang is beter;Beleid Europese Commissie in navolging rapport Draghi;NA;NA;NA;NA;NA;hoger;Internationale afspraak;FALSE;NA;NA
Economie & Arbeidsmarkt;"Arbeidsproductiviteit (toegevoegde waarde per gewerkt uur; index, 2021 = 100)";NA;CBS;een hogere indexscore is beter;Beleid Europese Commissie, Productiviteitsagenda;NA;Arbeidsproductiviteit verhogen;NA;NA;NA;hoger;Internationale afspraak;FALSE;NA;NA
Economie & Arbeidsmarkt;Netto arbeidsparticipatie (% 15-75-jarigen met betaald werk);NA;CBS;een hoger % is beter;Participatiewet;NA;NA;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Economie & Arbeidsmarkt;Werkloosheid (% werkzoekenden 15-75 jaar die direct beschikbaar zijn als percentage van beroepsbevolking);NA;CBS;een lager % is beter;Europese intitatieven uit Europees Parlement: Europese Werkgelegenheidsstrategie;NA;NA;NA;NA;NA;lager;Internationale afspraak;FALSE;NA;NA
Kennis & Vaardigheden;PISA-scores lezen;NA;OECD;een hogere score is beter;"Wet op primair onderwijs; Wet op voorgezet onderwijs 2020";NA;Gericht investeren in lezen, schrijven en rekenen;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Kennis & Vaardigheden;PISA-scores wiskunde;NA;OECD;een hogere score is beter;"Wet op primair onderwijs; Wet op voorgezet onderwijs 2020";NA;Gericht investeren in lezen, schrijven en rekenen;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Kennis & Vaardigheden;PISA-scores science;NA;OECD;een hogere score is beter;"Wet op primair onderwijs; Wet op voorgezet onderwijs 2021";NA;Gericht investeren in lezen, schrijven en rekenen;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Kennis & Vaardigheden;PIAAC-scores taalvaardigheid;NA;OECD;een hogere score is beter;"Wet educatie en beroepsonderwijs; Wet op hoger onderwijs en wetenschappelijk onderzoek";NA;NA;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Kennis & Vaardigheden;PIAAC-scores rekenvaardigheid;NA;OECD;een hogere score is beter;"Wet educatie en beroepsonderwijs; Wet op hoger onderwijs en wetenschappelijk onderzoek";NA;NA;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Kennis & Vaardigheden;PIAAC-scores probleemoplossend vermogen;NA;OECD;een hogere score is beter;"Wet educatie en beroepsonderwijs; Wet op hoger onderwijs en wetenschappelijk onderzoek";NA;NA;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Kennis & Vaardigheden;Minimaal digitale basisvaardigheden (% personen > 12 jaar);% personen > 12 jaar;CBS;Doel 2030: 80%;Europees beleid: The Digital Decade;NA;We scholen jonge mensen in cybersecurity- en digitale vaardigheden;80,0;2030;NA;hoger;Internationale afspraak;FALSE;NA;NA
Kennis & Vaardigheden;Aantallen vroegtijdig schoolverlaters (12-23 jaar);12-23 jaar;CBS;Maximum 2026: 18.000;Wet educatie en beroepsonderwijs, Wet op hoger onderwijs en wetenschappelijk onderzoek;NA;NA;18000,0;2026;NA;lager;Wet of verdrag;FALSE;NA;NA
Klimaat en Milieu;Broeikasgasemissies (CO2-eq. Mton);CO2-eq. Mton;CBS;2040: -90% t.o.v. 1990 = 22,7;Akkoord van Parijs en EU en Nationale Klimaatwet;90% in 2040 t.o.v. 1990;NA;22,7;2040;NA;lager;Wet of verdrag;TRUE;NA;NA
Klimaat en Milieu;Ammoniak-uitstoot (NH3) (landbouw);landbouw;RIVM;2035: 62,6 (42%);Wet stikstofreductie en natuurverbetering;2035: 42%-46% NH3 t.o.v. 2019;NA;62,6;2035;NA;lager;Wet of verdrag;TRUE;NA;NA
Klimaat en Milieu;Ammoniak-uitstoot (NH3) (industrie);industrie;RIVM;2035: 0,7;Wet stikstofreductie en natuurverbetering;2035: 50% NH3 t.o.v. 2019;NA;0,7;2035;NA;lager;Wet of verdrag;TRUE;NA;NA
Klimaat en Milieu;NOx-uistoot (mobiliteit);mobiliteit;RIVM;2035: 80,6;Wet stikstofreductie en natuurverbetering;2035: 50% NOx t.o.v. 2019;NA;80,6;2035;NA;lager;Wet of verdrag;TRUE;NA;NA
Klimaat en Milieu;Stikstofdepositie gevoelige natuurgebieden (mol/ha);mol/ha;RIVM;Doel 2035: 850 mol/ha;Wet stikstofreductie en natuurverbetering;NA;NA;850,0;2035;NA;lager;Wet of verdrag;FALSE;NA;NA
Klimaat en Milieu;Aandeel Natura 2000 dat voldoende onder de Kritische DepositieWaarde (KDW) zit;NA;RIVM/PBL/CLO;"Doel 2030: 50%; 2035: 74%";Wet stikstofreductie en natuurverbetering;NA;Aanpak om stikstof te reduceren richt zich met name op de meest stikstofgevoelige Natura 2000-gebieden die nog niet onder de norm zitten;50,0;2030;2035: 74;hoger;Wet of verdrag;FALSE;NA;NA
Klimaat en Milieu;Kwaliteit oppervlaktewater (chemisch) (% van voldoende kwaliteit));NA;CBS;Doel 2027: 100%;Kaderrichtlijn Water;NA;De waterkwaliteit wordt structureel verbeterd;100,0;2027;NA;hoger;Overig;FALSE;NA;NA
Klimaat en Milieu;Kwaliteit oppervlaktewater (biologisch) (% van goede kwaliteit));NA;CBS;Doel 2027: 100%;Kaderrichtlijn Water;NA;De waterkwaliteit wordt structureel verbeterd;100,0;2027;NA;hoger;Overig;FALSE;NA;NA
Klimaat en Milieu;Living Planet Index - NL (fauna het land) (1990 = 100);1990 = 100;CBS;een hoger indexgetal is beter;Europese natuurherstelwet;NA;Kunnen we de biodiversiteit van (versnipperde) natuur sterker maken;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Klimaat en Milieu;Living Planet Index - NL (fauna zoetwater);fauna zoetwater;CBS;een hoger indexgetal is beter;Europese natuurherstelwet;NA;Kunnen we de biodiversiteit van (versnipperde) natuur sterker maken;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Klimaat en Milieu;Hernieuwbare energie - eindgebruik (%);%;CBS;Doel 2030: 39%;Wet implementatie EU-richtlijn hernieuwbare energie;NA;NA;39,0;2030;NA;hoger;Wet of verdrag;FALSE;NA;NA
Wonen;Woningen tekort (aantal);aantal;CBS/SBF;Lager tekort is beter;Programma Woningbouw 2022;NA;Woningtekort terugdringen;NA;NA;NA;lager;Overig;FALSE;NA;NA
Wonen;Verdeling woningvoorraad naar eigendom (vrije sectorhuur);vrije sectorhuur;CBS;NA;Programma Woningbouw 2022;NA;NA;NA;NA;NA;NA;Overig;FALSE;NA;NA
Wonen;Verdeling woningvoorraad naar eigendom (koop);koop;CBS;NA;Programma Woningbouw 2022;NA;NA;NA;NA;NA;NA;Overig;FALSE;NA;NA
Wonen;Verdeling woningvoorraad naar eigendom (sociale huur);sociale huur;CBS;Meer is beter;Programma Woningbouw 2022;NA;NA;NA;NA;NA;hoger;Overig;FALSE;NA;NA
Wonen;(Mediane) Woonquote (eigenaar);eigenaar;CBS;Lager is beter;Woningwet;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Wonen;(Mediane) Woonquote (huurder);huurder;CBS;Lager is beter;Woningwet;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
