thema;indicator;eerste_jaar;laatste_jaar;n_metingen;startwaarde;laatste_waarde;eenheid;bron;herkomst;doel_tekst;legitimatie;doelsoort;coalitiedoel;doel;doeljaar;heeft_raming;raming_jaar;raming_waarde;raming_bron;doel_alt;doel_alt_label;richting;helling;r2;projectie;afstand;gat;gat_projectie;status;beweging;verandering;verandering_pct;heeft_streefwaarde
Bestaanszekerheid;% personen onder NL-armoedegrens (nieuwe CBS–SCP–Nibud-methode);2020;2024;5;5,10000000000000;3,10000000000000;NA;CBS/SCP/Nibud;Rekenkamer;Niet hoger dan 2024: 3,1%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;Wet of verdrag;NA;3,1;2024;FALSE;NA;NA;NA;NA;NA;lager;-6,19999999999995e-01;0,80892255892255926;2,599999999999909;1,00000000000000000;0,00000000000000e+00;5,00000000000091e-01;Doel gehaald;Goede kant op;-1,9999999999999996;-0,39215686274509798;TRUE
Bestaanszekerheid;Armoede intensiteit (% inkomenstekort ten opzichte van de armoedegrens bij de mediaan binnen de groep in armoede);2020;2024;5;11,00000000000000;19,00000000000000;NA;CBS/SCP/Nibud;Rekenkamer;Lager is beter;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;2,49999999999997e+00;0,83111702127659137;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;8,0000000000000000;0,72727272727272729;FALSE
Bestaanszekerheid;Huishoudens met problematische schulden (%);2020;2025;6;7,90000000000000;8,60000000000000;%;CBS;Rekenkamer;Hoe minder hoe beter;Participatiewet 2015;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;2,22857142857176e-01;0,69346504559274225;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;0,6999999999999993;0,08860759493670876;FALSE
Bestaanszekerheid;Kinderarmoede (% kinderen < 18);2020;2024;5;6,20000000000000;2,80000000000000;% kinderen < 18;CBS/CPB;Rekenkamer;Niet hoger dan 2024: 2,8%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;Wet of verdrag;NA;2,8;2024;FALSE;NA;NA;NA;NA;NA;lager;-9,59999999999993e-01;0,93658536585365848;2,379999999999427;1,00000000000000000;0,00000000000000e+00;4,20000000000573e-01;Doel gehaald;Goede kant op;-3,4000000000000004;-0,54838709677419362;TRUE
Binnenlandse Veiligheid;Aantal geregistreerde misdrijven;2020;2025;6;813,00000000000000;816,00000000000000;NA;CBS/Politie;Rekenkamer;Lager # is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;Beleidsafspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;5,57142857143032e+00;0,20157620844127497;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;3,0000000000000000;0,00369003690036900;FALSE
Binnenlandse Veiligheid;Aantal opgehelderde misdrijven;2020;2025;6;220,00000000000000;180,00000000000000;NA;CBS/Politie;Rekenkamer;Meer opgehelderd is beter (hoger aantal);Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;Beleidsafspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;-5,85714285714396e+00;0,35492588995401531;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;-40,0000000000000000;-0,18181818181818182;FALSE
Binnenlandse Veiligheid;High Impact Crimes x 1.000;2020;2024;5;115,08000000000000;103,73000000000002;NA;CBS;Rekenkamer;Hoe minder hoe beter;Wetboek van Strafrecht, ingediende moties en toezeggingen aan de Kamer;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;-2,37000000000000e+00;0,48243665683739650;NA;NA;NA;NA;Alleen richting;Goede kant op;-11,3499999999999801;-0,09862704205769882;FALSE
Binnenlandse Veiligheid;National Cybersecurity Index - NL (ranking);2022;2024;2;20,00000000000000;35,00000000000000;ranking;e-Governance Academy (Estland);Rekenkamer;hoe lager het cijfer van de ranking, hoe beter;"NIS2-richtlijn; Cyberbeveiligingswet";Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;NA;NA;NA;NA;NA;NA;Alleen richting;NA;15,0000000000000000;0,75000000000000000;FALSE
Binnenlandse Veiligheid;National Cybersecurity Index - NL (score);2022;2024;2;83,12000000000000;81,67000000000000;score;e-Governance Academy (Estland);Rekenkamer;Hoe hoger, hoe beter;"NIS2-richtlijn; Cyberbeveiligingswet";Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;NA;NA;NA;Alleen richting;NA;-1,4500000000000028;-0,01744465832531283;FALSE
Binnenlandse Veiligheid;Ophelderingspercentage misdrijven;2020;2025;6;27,06027060270602;22,05000000000000;NA;CBS/Politie;Rekenkamer;hoger % opgehelderd is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;Beleidsafspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;-9,07186155889870e-01;0,52043345309131639;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;-5,0102706027060222;-0,18515227272727258;FALSE
Binnenlandse Veiligheid;Slachtoffers traditionele criminaliteit (% bevolking);2021;2025;3;17,10000000000000;20,00000000000000;% bevolking;CBS;Rekenkamer;Hoe minder hoe beter;Breed gehanteerde indicator;Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;7,25000000000088e-01;0,77583025830249730;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;2,8999999999999986;0,16959064327485371;FALSE
Binnenlandse Veiligheid;Slachtoffers van moord en doodslag per 100.000 inwoners;2020;2024;5;0,69000000000000;0,68000000000000;NA;CBS;Rekenkamer;Hoe minder hoe beter;Breed gehanteerde indicator;Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;-3,99999999999979e-03;0,01454545454545327;NA;NA;NA;NA;Alleen richting;Goede kant op;-0,0099999999999999;-0,01449275362318826;FALSE
Defensie en Ontwikkelingssamenwerking;Defensie uitgaven (NAVO-norm);2020;2025;6;1,41000000000000;2,22000000000000;NAVO-norm;Defensie;Rekenkamer;2035: 3,5% BBP;NATO guideline 2014 (2%) en Defence Investment Plan 2025 (3,5% + 1,5%);Overig;Wettelijke verankering NAVO-norm van 3,5% BBP;3,5;2035;FALSE;NA;NA;NA;NA;NA;hoger;1,56000000000029e-01;0,74454545454554444;3,560000000000286;0,38755980861244033;1,28000000000000e+00;-6,00000000002865e-02;Op koers;Goede kant op;0,8100000000000003;0,57446808510638325;TRUE
Defensie en Ontwikkelingssamenwerking;Investeringsquote defensie uitgaven (% defensie-uitgaven voor investeringen);2022;2025;4;24,90000000000000;30,10000000000000;NA;Defensie;Rekenkamer;> 20%;NATO Defence Investment Pledge (2014) en Defence Planning Capability Review;Overig;NA;20,0;2030;FALSE;NA;NA;NA;NA;NA;hoger;1,84000000000000e+00;0,75978456014362616;38,360000000000127;-1,06122448979591932;-1,01000000000000e+01;-1,83600000000001e+01;Doel gehaald;Goede kant op;5,2000000000000028;0,20883534136546197;TRUE
Defensie en Ontwikkelingssamenwerking;Uitgaven ontwikkelingssamenwerking (als % BNI);2020;2025;6;0,59000000000000;0,54000000000000;als % BNI;CBS;Rekenkamer;7.0000000000000001E-3;VN-resolutie 2626 (XXV) en overgenomen in EU-verplichtingen en SDG 17.2;Overig;NA;0,7;2030;FALSE;NA;NA;NA;NA;NA;hoger;1,14285714285694e-03;0,00120300751879625;0,608571428571427;-0,45454545454545398;1,60000000000000e-01;9,14285714285734e-02;Te traag;Goede kant op;-0,0499999999999999;-0,08474576271186429;TRUE
