thema;n_indicatoren;n_streefwaarde;n_op_koers;n_goede_kant;aandeel_meetbaar
Defensie en Ontwikkelingssamenwerking;4;4;2;3;1,000000000000000
Klimaat en Milieu;11;9;3;7;0,818181818181818
Bestaanszekerheid;4;2;2;2;0,500000000000000
Zorg;8;4;0;2;0,500000000000000
Overheidsfinanciën & Openbaar bestuur;7;2;2;2;0,285714285714286
Kennis & Vaardigheden;8;2;0;0;0,250000000000000
Economie & Arbeidsmarkt;6;1;0;6;0,166666666666667
Wonen;7;1;0;4;0,142857142857143
Binnenlandse Veiligheid;8;0;0;2;0,000000000000000
Gelijkheid/non-discriminatie;8;0;0;2;0,000000000000000
